id,InvoiceID,InvoiceNumber,user_id,order_type,ordernumber,shipping_method_id,payment_mothod_id,subtotal,vat,shipping_charge,discount,total,status,deleted,deleted_by,created_at,Day,Month,Year,Day of Week
115,7c0c244b-3b55-4349-8bee-cfc09871a4da,INV-5105,7400,1,16250724487400,20,1,1545,201.52,0,0,1545,6,0,NULL,30/06/2021,30,6,2021,4
116,a7619847-d1f1-41ab-be7e-a9ea04a87f19,INV-5106,4661,1,16250734314661,17,1,679,88.57,0,0,679,6,0,NULL,30/06/2021,30,6,2021,4
117,14fa8708-1aa9-495f-9502-e75a47504e4f,INV-5107,3320,1,16250740153320,12,1,910,118.7,0,0,910,6,0,NULL,30/06/2021,30,6,2021,4
118,55fc57e2-e2d7-40fe-8a8b-c141604d11ee,INV-5008,5424,1,16250763485424,18,12,1395,181.96,0,0,1395,6,0,NULL,30/06/2021,30,6,2021,4
120,d406344c-5b0a-418e-94d9-e8582f1ca44d,INV-5041,7403,1,16250798727403,17,2,400,52.17,70,0,470,6,0,NULL,30/06/2021,30,6,2021,4
121,ff3d3e55-d18a-48ab-b058-67b953c02c70,INV-5108,7405,1,16250829817405,12,1,690,90,0,0,690,6,0,NULL,30/06/2021,30,6,2021,4
124,62f5b9c5-f99d-4579-a330-3eee82ecbcfd,INV-5010,2335,1,16250849672335,12,1,983,128.22,0,0,983,6,0,NULL,30/06/2021,30,6,2021,4
125,e0b0843a-7f02-4f5e-bfc9-d3d5084f65db,INV-5191,6437,1,16250881406437,12,11,1205,157.17,0,0,1205,6,0,NULL,30/06/2021,30,6,2021,4
127,8ef9a682-0def-423f-80fc-5fbc34e0bb56,INV-5110,7410,1,16251140267410,20,1,436.5,56.93,70,0,506.5,6,0,NULL,01/07/2021,1,7,2021,5
130,12f258fb-b3c7-4b4a-8f59-edc5793eb3b5,INV-5111,7409,1,16251167467409,17,1,2074,270.52,0,0,2074,6,0,NULL,01/07/2021,1,7,2021,5
131,c35e2c92-1ae3-4202-9fd7-6343e1f90ae9,INV-5112,7412,1,16251170137412,17,1,270,35.22,70,0,340,6,0,NULL,01/07/2021,1,7,2021,5
132,74b1844d-a477-4889-8be7-7db31ea1f76e,INV-5012,1551,1,16251177391551,24,1,550,71.74,70,55,565,6,0,NULL,01/07/2021,1,7,2021,5
